"ID","条件","得点"
1,1,29
2,1,24
3,1,26
4,1,36
5,1,30
6,1,31
7,1,23
8,1,25
9,1,26
10,1,26
11,1,19
12,1,26
13,1,22
14,1,33
15,1,20
16,1,33
17,1,15
18,1,32
19,1,34
20,1,15
21,1,24
22,1,24
23,1,42
24,1,30
25,1,29
26,2,19
27,2,39
28,2,26
29,2,22
30,2,24
31,2,16
32,2,36
33,2,13
34,2,26
35,2,23
36,2,24
37,2,15
38,2,11
39,2,14
40,2,8
41,2,31
42,2,39
43,2,13
44,2,18
45,2,23
46,2,33
47,2,24
48,2,22
49,2,25
50,2,30
51,3,35
52,3,49
53,3,37
54,3,34
55,3,41
56,3,37
57,3,34
58,3,26
59,3,37
60,3,29
61,3,22
62,3,37
63,3,36
64,3,35
65,3,34
66,3,39
67,3,47
68,3,24
69,3,34
70,3,24
71,3,31
72,3,41
73,3,34
74,3,45
75,3,28
