"ID","タイプ","なし","否定","肯定"
"C01",1,592,888,700
"C02",1,590,885,705
"C03",1,616,895,670
"C04",1,618,921,718
"C05",1,564,929,660
"C06",1,590,886,711
"C07",1,617,921,664
"C08",1,596,914,677
"C09",1,661,908,718
"C10",1,614,923,686
"C11",1,596,887,677
"C12",1,667,908,685
"C13",1,620,861,693
"C14",1,606,876,711
"C15",1,604,886,715
"C16",1,587,886,724
"C17",1,592,882,687
"C18",1,643,905,730
"C19",1,575,868,676
"C20",1,612,898,719
"C21",1,588,884,722
"C22",1,629,940,687
"C23",1,620,901,702
"C24",1,600,907,698
"C25",1,597,891,677
"C26",1,599,883,737
"C27",1,600,868,637
"C28",1,626,896,674
"C29",1,545,911,693
"C30",1,550,922,721
"D01",2,688,753,1033
"D02",2,662,772,990
"D03",2,684,793,1040
"D04",2,737,813,971
"D05",2,694,775,1025
"D06",2,684,800,968
"D07",2,771,776,1061
"D08",2,763,768,971
"D09",2,712,805,1008
"D10",2,675,830,1015
"D11",2,661,834,1025
"D12",2,707,824,991
"D13",2,711,777,950
"D14",2,699,774,1006
"D15",2,762,812,999
"D16",2,691,812,1016
"D17",2,691,802,998
"D18",2,714,812,981
"D19",2,680,755,975
"D20",2,697,801,979
"D21",2,715,770,998
"D22",2,687,784,1040
"D23",2,704,767,1012
"D24",2,709,795,1019
"D25",2,693,814,1010
"D26",2,736,831,1036
"D27",2,708,777,1004
"D28",2,697,800,966
"D29",2,713,801,988
"D30",2,670,812,1005
