ID,"作業記憶","BGM","再生数"
1,8.9,1,23
2,7,1,19
3,7.1,1,16
4,7,1,20
5,8,1,21
6,4.2,1,14
7,4.2,1,19
8,8.9,1,19
9,10.7,1,25
10,6,1,21
11,7,1,20
12,5.2,1,13
13,5.2,1,17
14,7,1,18
15,6.2,1,13
16,8.9,1,18
17,6.1,1,17
18,8.9,1,20
19,7,1,17
20,7.9,1,21
21,6,1,19
22,9.8,1,21
23,8.9,1,21
24,7,1,22
25,4.3,1,12
26,9.9,2,20
27,7.1,2,18
28,10.8,2,26
29,5.2,2,14
30,4.2,2,15
31,8.9,2,23
32,6.2,2,18
33,5.2,2,14
34,7,2,17
35,3.3,2,14
36,6.1,2,20
37,8,2,16
38,7,2,16
39,6.1,2,15
40,6.1,2,16
41,8.9,2,25
42,8.9,2,16
43,5.2,2,17
44,6.2,2,20
45,7,2,22
46,8.9,2,19
47,8,2,16
48,8.9,2,22
49,7,2,18
50,7.1,2,18
51,7,3,17
52,4.2,3,15
53,6,3,16
54,6,3,16
55,7,3,17
56,7.9,3,20
57,7.9,3,17
58,5.1,3,15
59,7.9,3,25
60,7,3,17
61,8.8,3,20
62,10.7,3,20
63,7,3,15
64,7,3,18
65,6,3,17
66,8.9,3,17
67,5.1,3,14
68,6,3,16
69,9.7,3,19
70,7,3,13
71,5,3,17
72,8.9,3,14
73,10.7,3,17
74,5.1,3,12
75,6,3,15
