"ID","タイプ","満足度","理解度"
1,1,2.47,2.32
2,1,3.2,2.73
3,1,3.81,2.35
4,1,4.11,2.39
5,1,3.02,2.07
6,1,3.49,3.06
7,1,3.19,2.18
8,1,3.6,4.42
9,1,3.72,3.28
10,1,3.2,3.57
11,1,2.46,4.83
12,1,1.81,1.08
13,1,2.43,3.12
14,1,3.28,3.44
15,1,3.42,3.66
16,1,4.4,4.61
17,1,3.17,2.37
18,1,3.77,3.36
19,1,2.18,2.29
20,1,2.03,2.32
21,1,2.49,2.62
22,1,0.96,2.46
23,1,2.29,2.27
24,1,2.76,2.41
25,1,3.63,4.01
26,1,1.93,1.11
27,1,2.07,2.51
28,1,2.95,2.39
29,1,3.57,4.01
30,1,2.13,2.03
31,2,4.11,3.36
32,2,3.19,3.37
33,2,3.24,1.25
34,2,2.64,3.55
35,2,4.47,2.94
36,2,3.84,2.53
37,2,2.95,3.29
38,2,3.44,1.99
39,2,3.43,2.45
40,2,3.48,2.52
41,2,2.37,3.07
42,2,2.2,2.15
43,2,4.27,3.87
44,2,2.6,2.96
45,2,2.13,2.01
46,2,3.1,3.38
47,2,1.91,1.59
48,2,2.25,2.19
49,2,3.48,3.47
50,2,3.58,1.87
51,2,2.25,2.14
52,2,2.58,1.48
53,2,2.68,2.83
54,2,2.07,2.45
55,2,2.58,1.79
56,2,3.22,2.87
57,2,2.98,1.68
58,2,1.3,2.28
59,2,1.75,2.68
60,2,1.51,3.99
61,3,3.16,2.16
62,3,1.69,2.55
63,3,2.14,2.09
64,3,2.36,4.22
65,3,3.49,4.0
66,3,1.85,3.24
67,3,3.22,4.3
68,3,3.05,2.76
69,3,3.06,3.16
70,3,3.38,2.92
71,3,1.9,1.91
72,3,1.81,2.2
73,3,1.26,3.49
74,3,2.72,2.42
75,3,2.52,3.27
76,3,2.03,2.7
77,3,2.89,3.79
78,3,1.8,2.85
79,3,3.54,3.7
80,3,3.63,3.08
81,3,1.8,2.71
82,3,1.79,2.37
83,3,1.96,3.35
84,3,2.35,4.24
85,3,2.63,4.49
86,3,2.42,4.58
87,3,2.9,1.89
88,3,2.43,3.08
89,3,1.57,3.28
90,3,1.91,2.41
