"ID","学部","学年","性別","受講形態","クラス","満足度","テスト得点","課題得点","学習時間","出席率"
1,"心理",1,"女性","対面","A",4,74,78,5.5,92
2,"心理",1,"男性","対面","A",3,68,72,4.0,88
3,"心理",1,"女性","オンライン","B",5,81,84,6.5,95
4,"心理",1,"男性","対面","C",2,61,66,3.0,80
5,"心理",2,"女性","対面","A",4,76,79,5.0,90
6,"心理",2,"男性","オンライン","B",3,70,73,4.5,86
7,"心理",2,"女性","対面","C",4,79,82,5.8,93
8,"心理",2,"無回答","オンライン","A",2,63,68,2.8,78
9,"心理",3,"女性","対面","B",5,84,87,7.0,97
10,"心理",3,"男性","対面","C",3,72,75,4.2,85
11,"心理",3,"女性","オンライン","A",4,77,81,5.4,91
12,"心理",4,"男性","対面","B",3,69,74,3.8,84
13,"心理",4,"女性","対面","C",5,86,88,7.4,98
14,"心理",4,"男性","オンライン","A",2,64,69,3.1,79
15,"心理",4,"女性","対面","B",4,78,83,5.9,94
16,"教育",1,"女性","対面","A",4,71,76,4.8,91
17,"教育",1,"男性","オンライン","B",3,66,70,3.7,85
18,"教育",1,"女性","対面","C",4,73,77,5.1,89
19,"教育",1,"男性","対面","A",2,59,64,2.6,76
20,"教育",2,"女性","オンライン","B",5,80,83,6.6,96
21,"教育",2,"男性","対面","C",3,67,72,4.1,87
22,"教育",2,"女性","対面","A",4,75,80,5.6,92
23,"教育",2,"男性","オンライン","B",3,65,69,3.4,83
24,"教育",2,"無回答","対面","C",2,60,65,2.9,77
25,"教育",3,"女性","対面","A",5,82,86,6.9,97
26,"教育",3,"男性","オンライン","B",3,68,73,4.0,86
27,"教育",3,"女性","対面","C",4,74,79,5.3,90
28,"教育",3,"男性","対面","A",2,62,67,3.1,80
29,"教育",4,"女性","オンライン","B",4,77,82,5.8,93
30,"教育",4,"男性","対面","C",3,69,74,4.2,84
31,"教育",4,"女性","対面","A",5,83,87,7.1,98
32,"社会",1,"女性","対面","A",3,69,71,4.4,87
33,"社会",1,"男性","対面","B",2,58,63,2.5,75
34,"社会",1,"女性","オンライン","C",4,72,76,5.0,89
35,"社会",1,"男性","対面","A",3,64,68,3.3,82
36,"社会",2,"女性","対面","B",4,74,78,5.2,90
37,"社会",2,"男性","オンライン","C",2,61,65,2.9,79
38,"社会",2,"女性","対面","A",5,79,84,6.3,95
39,"社会",2,"男性","対面","B",3,67,70,3.8,85
40,"社会",2,"無回答","オンライン","C",2,57,62,2.4,73
41,"社会",3,"女性","対面","A",4,76,81,5.7,92
42,"社会",3,"男性","オンライン","B",3,65,69,3.6,84
43,"社会",3,"女性","対面","C",5,81,85,6.8,96
44,"社会",3,"男性","対面","A",2,60,64,2.7,78
45,"社会",4,"女性","オンライン","B",4,73,77,5.1,89
46,"社会",4,"男性","対面","C",3,66,71,3.9,83
47,"社会",4,"女性","対面","A",5,80,86,6.7,97
48,"社会",4,"男性","オンライン","B",2,59,63,2.8,76
49,"情報",1,"女性","対面","A",4,78,82,6.0,93
50,"情報",1,"男性","オンライン","B",3,72,76,4.8,88
51,"情報",1,"女性","対面","C",5,85,88,7.5,98
52,"情報",1,"男性","対面","A",2,66,70,3.5,81
53,"情報",2,"女性","オンライン","B",4,79,83,6.2,94
54,"情報",2,"男性","対面","C",3,73,77,4.6,87
55,"情報",2,"女性","対面","A",5,87,90,8.0,99
56,"情報",2,"男性","オンライン","B",2,68,71,3.7,82
57,"情報",3,"女性","対面","C",4,80,84,6.4,95
58,"情報",3,"男性","対面","A",3,74,78,4.9,89
59,"情報",3,"女性","オンライン","B",5,88,91,8.3,100
60,"情報",3,"男性","対面","C",2,69,73,3.9,83
61,"情報",4,"女性","対面","A",4,81,85,6.6,96
62,"情報",4,"男性","オンライン","B",3,75,79,5.0,90
63,"情報",4,"女性","対面","C",5,89,92,8.5,100
64,"情報",4,"男性","対面","A",2,70,74,4.1,84
65,"情報",4,"無回答","オンライン","C",3,71,75,4.3,86
66,"心理",2,"女性","対面","B",5,82,85,6.8,96
67,"教育",3,"男性","対面","C",4,72,76,4.7,88
68,"社会",1,"女性","対面","A",3,68,72,4.2,86
69,"情報",2,"男性","対面","B",4,77,81,5.7,92
70,"心理",3,"男性","オンライン","C",1,55,60,2.1,70
71,"教育",4,"女性","オンライン","A",5,84,89,7.6,99
72,"社会",2,"男性","対面","B",1,54,59,2.0,69
