"ID","課題タイプ","指導法","学年群","得点"
1,"記憶","講義","1-2年",64
2,"記憶","講義","1-2年",67
3,"記憶","講義","1-2年",69
4,"記憶","講義","1-2年",66
5,"記憶","講義","1-2年",65
6,"記憶","講義","1-2年",68
7,"記憶","講義","1-2年",63
8,"記憶","講義","1-2年",70
9,"注意","講義","1-2年",61
10,"注意","講義","1-2年",64
11,"注意","講義","1-2年",66
12,"注意","講義","1-2年",63
13,"注意","講義","1-2年",65
14,"注意","講義","1-2年",62
15,"注意","講義","1-2年",67
16,"注意","講義","1-2年",64
17,"推論","講義","1-2年",58
18,"推論","講義","1-2年",60
19,"推論","講義","1-2年",62
20,"推論","講義","1-2年",61
21,"推論","講義","1-2年",59
22,"推論","講義","1-2年",63
23,"推論","講義","1-2年",60
24,"推論","講義","1-2年",62
25,"言語","講義","1-2年",66
26,"言語","講義","1-2年",68
27,"言語","講義","1-2年",69
28,"言語","講義","1-2年",67
29,"言語","講義","1-2年",70
30,"言語","講義","1-2年",65
31,"言語","講義","1-2年",71
32,"言語","講義","1-2年",68
33,"記憶","演習","1-2年",70
34,"記憶","演習","1-2年",73
35,"記憶","演習","1-2年",71
36,"記憶","演習","1-2年",74
37,"記憶","演習","1-2年",72
38,"記憶","演習","1-2年",75
39,"記憶","演習","1-2年",69
40,"記憶","演習","1-2年",73
41,"注意","演習","1-2年",68
42,"注意","演習","1-2年",70
43,"注意","演習","1-2年",71
44,"注意","演習","1-2年",69
45,"注意","演習","1-2年",72
46,"注意","演習","1-2年",67
47,"注意","演習","1-2年",70
48,"注意","演習","1-2年",71
49,"推論","演習","1-2年",64
50,"推論","演習","1-2年",66
51,"推論","演習","1-2年",67
52,"推論","演習","1-2年",65
53,"推論","演習","1-2年",68
54,"推論","演習","1-2年",64
55,"推論","演習","1-2年",66
56,"推論","演習","1-2年",67
57,"言語","演習","1-2年",72
58,"言語","演習","1-2年",74
59,"言語","演習","1-2年",75
60,"言語","演習","1-2年",73
61,"言語","演習","1-2年",76
62,"言語","演習","1-2年",71
63,"言語","演習","1-2年",74
64,"言語","演習","1-2年",75
65,"記憶","講義","3-4年",69
66,"記憶","講義","3-4年",71
67,"記憶","講義","3-4年",72
68,"記憶","講義","3-4年",70
69,"記憶","講義","3-4年",73
70,"記憶","講義","3-4年",68
71,"記憶","講義","3-4年",71
72,"記憶","講義","3-4年",72
73,"注意","講義","3-4年",66
74,"注意","講義","3-4年",68
75,"注意","講義","3-4年",69
76,"注意","講義","3-4年",67
77,"注意","講義","3-4年",70
78,"注意","講義","3-4年",65
79,"注意","講義","3-4年",68
80,"注意","講義","3-4年",69
81,"推論","講義","3-4年",63
82,"推論","講義","3-4年",65
83,"推論","講義","3-4年",66
84,"推論","講義","3-4年",64
85,"推論","講義","3-4年",67
86,"推論","講義","3-4年",62
87,"推論","講義","3-4年",65
88,"推論","講義","3-4年",66
89,"言語","講義","3-4年",71
90,"言語","講義","3-4年",73
91,"言語","講義","3-4年",74
92,"言語","講義","3-4年",72
93,"言語","講義","3-4年",75
94,"言語","講義","3-4年",70
95,"言語","講義","3-4年",73
96,"言語","講義","3-4年",74
97,"記憶","演習","3-4年",75
98,"記憶","演習","3-4年",77
99,"記憶","演習","3-4年",78
100,"記憶","演習","3-4年",76
101,"記憶","演習","3-4年",79
102,"記憶","演習","3-4年",74
103,"記憶","演習","3-4年",77
104,"記憶","演習","3-4年",78
105,"注意","演習","3-4年",72
106,"注意","演習","3-4年",74
107,"注意","演習","3-4年",75
108,"注意","演習","3-4年",73
109,"注意","演習","3-4年",76
110,"注意","演習","3-4年",71
111,"注意","演習","3-4年",74
112,"注意","演習","3-4年",75
113,"推論","演習","3-4年",69
114,"推論","演習","3-4年",71
115,"推論","演習","3-4年",72
116,"推論","演習","3-4年",70
117,"推論","演習","3-4年",73
118,"推論","演習","3-4年",68
119,"推論","演習","3-4年",71
120,"推論","演習","3-4年",72
121,"言語","演習","3-4年",77
122,"言語","演習","3-4年",79
123,"言語","演習","3-4年",80
124,"言語","演習","3-4年",78
125,"言語","演習","3-4年",81
126,"言語","演習","3-4年",76
127,"言語","演習","3-4年",79
128,"言語","演習","3-4年",80
