"ID","Q1","Q2","Q3","Q4","Q5"
1,2,4,2,4,2
2,5,2,4,2,4
3,5,1,5,1,4
4,2,4,1,3,2
5,4,2,4,1,5
6,4,1,4,2,3
7,4,3,4,2,4
8,4,2,4,2,3
9,4,3,2,3,3
10,2,3,2,3,2
11,3,3,3,3,3
12,5,2,5,1,3
13,3,3,4,3,3
14,3,1,4,3,4
15,3,2,3,3,3
16,1,5,1,5,1
17,3,3,4,3,4
18,4,3,3,2,4
19,3,3,3,4,3
20,3,3,2,2,3
21,5,2,4,1,5
22,3,4,3,3,3
23,3,2,3,2,4
24,3,2,3,3,3
25,2,3,2,4,2
26,3,3,3,3,3
27,3,2,4,2,4
28,1,4,2,4,3
29,3,3,4,2,3
30,3,3,3,4,2
31,3,2,3,3,3
32,2,3,2,2,3
33,3,3,4,3,3
34,3,4,3,3,3
35,2,4,4,2,3
36,4,3,3,1,3
37,3,4,1,3,2
38,3,3,2,4,2
39,3,3,2,3,2
40,3,3,2,3,3
41,4,1,4,1,3
42,3,3,3,3,3
43,4,3,5,2,3
44,2,4,2,3,2
45,4,3,4,2,3
46,4,2,3,1,4
47,4,3,3,2,3
48,3,3,3,2,3
49,2,2,3,3,3
50,3,4,3,2,4
51,2,3,3,4,3
52,3,1,4,3,2
53,1,4,2,4,2
54,4,2,5,1,5
55,2,3,2,3,3
56,2,4,3,2,2
57,4,3,3,3,3
58,5,1,4,2,4
59,3,4,2,4,3
60,1,4,1,4,2
61,3,3,3,3,3
62,3,2,3,3,3
63,4,3,3,4,4
64,3,2,3,2,3
65,4,2,4,2,4
66,3,3,3,2,2
67,2,4,3,3,3
68,2,3,3,2,4
69,3,3,4,2,3
70,3,3,3,3,2
71,4,2,3,3,2
72,2,5,2,3,3
73,4,2,3,2,4
74,2,3,3,4,3
75,5,2,4,2,4
76,2,3,3,4,4
77,4,2,2,1,4
78,2,3,3,3,2
79,3,4,2,3,3
80,2,4,3,3,3
81,3,2,4,2,5
82,4,2,3,2,3
83,3,2,4,2,4
84,4,3,2,3,4
85,4,2,3,1,3
86,3,3,3,4,3
87,2,4,2,3,2
88,3,3,3,3,2
89,2,3,2,3,3
90,2,4,3,3,2
91,3,3,2,2,3
92,2,2,3,3,2
93,2,4,2,4,3
94,4,2,4,2,3
95,3,2,3,2,3
96,4,3,3,2,4
97,3,2,3,2,3
98,3,3,3,3,3
99,3,2,2,2,4
100,4,2,3,3,3
101,1,4,2,5,3
102,4,2,4,2,4
103,3,3,3,4,3
104,2,4,2,4,3
105,1,5,2,4,2
106,3,2,2,2,2
107,1,4,3,2,2
108,3,4,3,2,3
109,4,2,3,1,4
110,2,3,3,3,3
111,2,3,3,3,2
112,4,3,4,2,4
113,4,2,3,2,3
114,3,3,3,3,3
115,2,4,3,2,2
116,4,2,4,2,3
117,2,4,2,4,3
118,3,2,3,2,2
119,2,3,4,3,3
120,5,2,3,3,3
121,2,2,3,3,3
122,2,3,2,3,3
123,3,3,3,3,3
124,3,3,3,3,3
125,2,3,2,2,3
126,4,2,3,2,4
127,4,3,5,1,4
128,2,3,2,3,2
129,3,3,3,3,2
130,2,3,4,3,3
131,4,3,3,2,3
132,3,3,3,3,3
133,3,3,3,2,2
134,2,2,3,4,3
135,3,3,3,4,2
136,2,4,2,2,3
137,2,3,3,3,3
138,2,4,3,3,3
139,3,3,2,4,3
140,3,2,3,2,3
141,4,1,4,2,5
142,2,4,3,3,3
143,3,2,4,3,3
144,2,4,2,4,2
145,3,3,3,3,3
146,4,3,3,2,4
147,4,2,4,1,4
148,3,2,3,2,4
149,3,3,3,3,2
150,3,4,3,2,2
151,1,3,3,3,2
152,3,3,2,2,3
153,3,2,2,2,4
154,3,2,3,3,4
155,4,2,4,2,4
156,1,3,3,3,2
157,2,3,2,3,3
158,3,3,3,2,3
159,3,3,3,3,2
160,5,2,4,1,3
161,4,4,3,2,3
162,2,3,2,3,3
163,3,2,2,2,4
164,3,3,3,2,4
165,4,3,4,1,4
166,4,3,3,3,3
167,4,3,3,2,3
168,2,2,3,3,3
169,3,3,3,3,3
170,1,5,2,5,1
171,4,3,3,1,3
172,3,3,2,2,3
173,3,2,4,2,2
174,4,2,3,2,3
175,2,3,3,3,3
176,2,2,4,3,4
177,2,3,1,4,2
178,2,4,2,4,2
179,4,2,3,2,3
180,3,4,3,2,4
181,3,3,4,2,3
182,2,3,2,3,3
183,4,2,3,3,2
184,4,2,3,3,2
185,3,3,3,4,3
186,3,3,4,3,3
187,3,3,2,2,3
188,3,2,4,2,4
189,3,1,3,2,4
190,3,3,3,3,2
191,3,5,3,4,2
192,1,4,1,3,2
193,2,4,2,2,2
194,3,4,3,3,2
195,4,2,4,2,2
196,3,2,3,2,4
197,4,2,4,2,4
198,1,4,1,4,2
199,2,5,2,3,2
200,4,2,4,1,5
