"ID","性別","パスタ","カレー","ラーメン","カツ丼","オムライス","ドリア"
1,2,7,2,3,1,4,7
2,2,5,1,3,1,5,3
3,2,5,3,4,3,4,4
4,1,3,5,3,5,1,1
5,2,4,1,3,2,7,5
6,2,4,1,5,1,5,2
7,2,5,5,2,2,7,4
8,1,4,5,7,4,5,4
9,1,4,3,4,3,7,7
10,2,4,4,4,3,7,4
11,1,6,7,2,6,5,6
12,1,2,4,2,1,1,1
13,2,5,5,5,3,7,6
14,2,6,1,1,2,4,2
15,1,5,4,6,4,6,5
16,2,3,2,1,1,3,3
17,1,5,4,3,1,6,5
18,1,6,7,5,5,4,3
19,2,6,4,6,7,7,6
20,2,2,7,6,5,1,4
21,1,1,5,4,4,1,1
22,2,7,4,6,4,3,7
23,1,7,6,2,5,5,6
24,1,4,3,1,2,4,4
25,2,1,1,1,2,1,2
26,1,1,3,3,3,4,3
27,1,7,5,3,5,7,5
28,1,4,4,4,1,2,3
29,2,3,2,1,1,3,4
30,1,4,5,6,5,3,2
31,1,6,4,5,6,4,2
32,1,6,2,3,6,7,6
33,1,5,3,6,2,3,1
34,1,4,6,7,4,6,5
35,2,1,4,2,7,5,4
36,1,1,6,6,4,3,1
37,2,4,1,4,3,4,4
38,1,1,2,3,3,1,4
39,2,4,3,1,1,6,6
40,1,5,5,4,5,5,4
41,2,3,4,5,7,5,3
42,2,3,6,2,1,3,4
43,1,2,2,5,4,3,3
44,2,7,4,4,4,7,7
45,1,1,7,7,4,2,2
46,2,7,5,7,5,6,7
47,2,7,2,2,4,5,4
48,2,2,3,5,3,2,2
49,2,6,1,3,4,3,5
50,2,1,1,3,1,3,1
51,1,2,5,5,3,1,1
52,2,4,4,5,3,3,3
53,2,4,5,2,4,6,5
54,2,5,4,1,3,7,7
55,1,1,7,6,5,2,4
56,1,6,1,5,2,5,5
57,2,2,4,1,3,2,2
58,1,5,5,6,3,3,6
59,2,5,5,6,6,3,7
60,1,7,5,3,3,3,7
61,2,4,2,5,3,4,3
62,2,7,4,5,5,4,7
63,1,7,4,5,6,7,5
64,2,4,3,5,5,3,5
65,1,6,5,7,5,6,5
66,1,1,7,6,5,5,1
67,2,3,1,2,2,3,4
68,1,3,4,4,6,2,5
69,2,7,3,2,4,4,5
70,1,5,6,6,6,7,4
71,2,4,5,1,2,5,5
72,1,3,2,3,5,3,2
73,2,1,2,2,1,2,3
74,2,6,5,1,3,2,4
75,1,6,4,6,5,4,5
76,1,5,5,5,2,5,7
77,2,5,1,1,3,6,4
78,1,1,6,7,7,2,1
79,2,4,4,1,1,4,2
80,2,5,3,6,2,7,4
81,1,6,5,7,7,4,7
82,1,1,3,3,4,2,1
83,1,3,3,5,5,1,2
84,1,4,2,3,1,6,3
85,2,6,3,6,5,6,6
86,2,3,4,6,4,2,5
87,2,4,2,4,1,2,4
88,2,4,2,3,2,5,6
89,1,3,4,4,4,2,3
90,1,4,3,7,6,6,7
91,2,7,6,1,3,2,4
92,2,5,7,5,4,6,5
93,2,7,7,5,3,7,7
94,2,6,3,4,1,3,5
95,2,2,2,4,4,2,1
96,2,3,2,3,1,4,4
97,1,1,4,3,5,5,6
98,1,4,6,6,7,4,5
99,1,6,3,6,7,4,7
100,2,5,4,3,6,5,6
101,2,3,2,2,2,3,4
102,1,5,7,5,6,6,5
103,2,7,5,4,2,1,6
104,2,1,1,5,6,2,3
105,1,4,7,6,7,5,7
106,1,7,3,3,4,5,4
107,1,2,3,2,2,2,2
108,1,3,2,3,1,3,3
109,2,4,3,3,4,6,5
110,1,7,6,3,5,5,2
111,2,6,4,7,5,4,7
112,1,6,7,7,7,7,7
113,2,6,5,4,5,7,7
114,1,1,4,4,5,5,4
115,2,6,7,6,6,7,6
116,2,6,1,1,1,5,6
117,2,5,3,3,5,5,5
118,1,3,7,5,6,3,3
119,1,3,4,3,5,2,5
120,2,3,1,1,4,2,4
121,1,1,3,3,3,1,1
122,2,6,5,7,6,7,7
123,2,5,1,2,3,2,4
124,2,7,4,2,2,5,7
125,1,2,7,7,7,3,2
126,2,1,5,7,4,2,3
127,2,3,1,3,3,1,4
128,1,3,4,3,3,4,2
129,1,2,7,6,7,4,2
130,1,1,7,7,7,1,1
131,1,1,5,4,5,4,3
132,2,3,3,2,1,5,4
133,2,3,5,3,4,3,1
134,1,1,1,5,6,1,5
135,2,6,5,2,4,7,5
136,2,4,4,4,3,4,4
137,2,1,5,6,6,4,6
138,1,6,3,4,2,3,6
139,2,3,3,2,4,6,3
140,1,3,5,3,3,6,4
141,1,7,5,6,7,4,6
142,2,1,6,4,5,5,3
143,1,3,4,3,6,2,3
144,1,7,6,7,7,7,7
145,2,3,5,7,5,6,1
146,2,5,6,3,4,5,5
147,2,5,2,6,5,6,5
148,1,6,4,3,2,5,7
149,2,4,3,1,3,3,5
150,1,1,5,1,6,2,5
151,2,1,6,5,3,5,4
152,2,3,7,3,3,3,4
153,2,2,4,5,7,4,1
154,2,1,1,1,2,1,1
155,2,7,3,3,3,4,7
156,2,7,5,2,5,7,7
157,2,4,3,2,3,6,5
158,2,2,4,2,4,6,6
159,2,5,2,5,4,7,2
160,2,7,7,5,7,7,7
161,2,5,5,5,4,4,5
162,2,4,2,6,4,4,6
163,1,5,4,5,5,5,1
164,2,5,3,6,2,5,6
165,1,4,7,5,5,4,4
166,1,2,5,4,3,3,4
167,1,5,7,4,3,7,4
168,1,4,5,5,6,6,4
169,1,3,1,2,1,6,5
170,2,6,5,2,6,7,4
171,1,4,6,7,5,3,5
172,1,5,5,4,3,7,6
173,1,2,5,5,5,5,4
174,2,3,4,6,3,1,3
175,2,2,5,5,4,3,1
176,2,5,1,3,3,3,3
177,2,6,7,7,7,5,3
178,1,3,7,7,7,3,5
179,1,7,4,6,4,4,7
180,2,1,5,7,5,3,3
181,1,3,3,2,2,2,2
182,2,5,7,7,7,6,4
183,2,3,4,2,6,7,7
184,1,4,1,4,1,4,5
185,1,4,4,3,4,5,2
186,2,5,4,3,3,6,4
187,1,4,3,5,7,6,5
188,1,4,4,4,3,1,3
189,2,4,6,5,5,6,5
190,1,5,4,2,6,4,2
191,1,6,7,7,7,6,7
192,1,2,6,6,7,1,1
193,1,3,4,6,5,6,5
194,1,6,6,7,4,5,5
195,1,5,3,7,4,5,4
196,1,7,2,4,4,5,4
197,2,6,4,5,4,5,5
198,1,6,1,2,2,7,4
199,2,6,7,2,1,4,7
200,2,6,7,6,6,5,6
201,2,4,3,3,4,3,6
202,1,2,4,7,6,4,1
203,1,4,1,3,1,4,5
204,2,2,6,4,4,5,4
205,2,4,3,6,4,7,5
206,1,1,2,2,3,1,3
207,2,5,2,1,3,3,3
208,2,7,5,4,5,3,2
209,1,4,3,2,3,1,2
210,1,4,3,6,5,6,4
211,2,3,3,5,4,2,3
212,1,3,4,6,5,1,4
213,2,3,5,6,7,2,3
214,1,2,1,1,1,2,1
215,2,6,1,1,3,7,6
216,2,1,2,3,3,1,2
217,1,1,6,5,4,2,3
218,1,7,4,4,4,4,6
219,2,4,4,4,4,3,5
220,1,2,3,7,6,2,3
221,2,4,5,4,3,4,6
222,1,4,7,7,6,3,1
223,1,1,5,7,6,7,3
224,2,3,4,5,4,4,1
225,1,4,3,3,7,3,4
226,2,2,4,2,7,3,3
227,1,3,5,2,6,2,5
228,1,7,2,2,1,5,7
229,1,6,5,4,5,4,6
230,2,2,3,7,4,1,2
231,1,4,5,7,3,4,7
232,1,2,1,3,3,4,3
233,2,2,6,7,6,4,3
234,1,3,5,6,3,5,4
235,1,1,7,6,4,3,2
236,2,5,5,5,6,6,7
237,1,2,4,6,4,1,4
238,2,3,7,6,6,3,7
239,2,3,4,6,2,6,5
240,1,7,6,7,7,4,5
241,1,4,5,6,3,6,2
242,1,3,1,3,5,4,2
243,2,1,3,3,4,1,3
244,2,5,6,4,3,6,6
245,1,3,6,5,5,1,2
246,1,6,6,3,3,7,7
247,1,5,2,4,3,7,3
248,1,4,5,5,6,1,4
249,1,3,7,5,5,4,5
250,1,4,3,4,1,7,6
