"ID","父身長","母身長","娘身長"
"F001",175.8,147.0,144.6
"F002",171.4,149.0,142.8
"F003",172.5,158.2,145.5
"F004",167.8,141.3,137.9
"F005",170.0,138.4,134.8
"F006",165.3,139.6,137.2
"F007",167.8,159.8,137.5
"F008",168.7,153.2,138.6
"F009",163.6,140.4,137.4
"F010",171.0,142.9,146.9
"F011",178.8,154.6,144.2
"F012",166.9,144.4,137.6
"F013",171.9,149.8,140.1
"F014",175.2,148.5,145.9
"F015",171.5,144.6,139.8
"F016",179.4,158.9,149.6
"F017",169.2,161.4,142.3
"F018",169.9,149.0,140.6
"F019",180.0,149.3,141.9
"F020",166.4,142.8,135.3
"F021",174.4,138.1,138.9
"F022",171.4,136.5,141.0
"F023",162.8,144.4,137.9
"F024",165.2,154.8,140.8
"F025",177.2,144.3,144.0
"F026",168.4,158.9,146.4
"F027",175.4,166.3,137.3
"F028",161.9,141.5,138.7
"F029",169.2,146.2,130.3
"F030",170.4,142.5,143.9
"F031",165.6,151.1,130.3
"F032",168.6,149.6,141.3
"F033",167.4,149.4,137.9
"F034",178.8,171.7,146.0
"F035",170.1,136.4,139.5
"F036",168.5,144.1,138.4
"F037",174.6,127.2,142.9
"F038",167.9,142.4,137.2
"F039",174.2,146.8,143.2
"F040",172.9,139.3,141.5
"F041",167.7,145.1,136.3
"F042",170.9,151.6,137.4
"F043",176.1,163.8,149.1
"F044",173.6,153.1,139.0
"F045",179.7,155.9,143.8
"F046",173.2,151.2,145.3
"F047",163.9,158.9,143.1
"F048",171.7,129.7,138.4
"F049",178.9,152.0,143.9
"F050",165.1,152.0,144.8
"F051",168.8,134.7,137.5
"F052",171.4,154.3,143.8
"F053",175.7,140.0,142.9
"F054",163.7,148.1,143.9
"F055",164.7,160.0,137.6
"F056",174.1,134.0,137.7
"F057",174.2,159.8,150.0
"F058",180.2,161.1,148.4
"F059",165.3,135.6,130.8
"F060",178.4,154.9,141.1
"F061",173.0,152.7,147.3
"F062",171.9,154.3,147.9
"F063",170.8,159.7,144.6
"F064",171.0,164.5,146.7
"F065",174.3,154.4,145.5
"F066",174.5,144.5,143.3
"F067",168.6,145.4,147.0
"F068",168.9,142.4,133.8
"F069",170.3,154.4,137.8
"F070",168.7,150.3,134.8
"F071",172.2,163.8,140.9
"F072",171.7,147.8,147.0
"F073",176.0,155.0,143.8
"F074",172.1,153.3,138.1
"F075",165.6,130.1,136.1
"F076",176.8,148.1,140.7
"F077",175.0,166.9,148.1
"F078",173.2,172.7,146.0
"F079",182.2,157.9,149.5
"F080",176.9,133.9,142.6
"F081",172.6,143.3,139.5
"F082",163.3,141.7,135.8
"F083",165.7,134.3,140.6
"F084",172.5,137.6,140.7
"F085",161.2,138.0,128.1
"F086",167.9,151.8,142.8
"F087",169.8,162.0,143.3
"F088",174.9,157.7,140.3
"F089",166.9,143.0,139.4
"F090",169.7,134.2,138.4
"F091",168.0,147.8,138.9
"F092",170.0,140.9,130.7
"F093",171.2,148.6,143.2
"F094",166.7,143.5,133.8
"F095",162.6,141.4,134.0
"F096",170.7,135.9,143.8
"F097",164.7,131.6,135.4
"F098",170.4,145.4,140.0
"F099",176.3,151.6,135.8
"F100",173.9,129.3,137.9
