"ID","父身長","母身長","子身長","性別"
"F001",175.8,147.0,144.6,2
"F002",171.4,149.0,142.8,2
"F003",172.5,158.2,145.5,2
"F004",167.8,141.3,137.9,2
"F005",170.0,138.4,134.8,2
"F006",165.3,139.6,137.2,2
"F007",167.8,159.8,137.5,2
"F008",168.7,153.2,138.6,2
"F009",163.6,140.4,137.4,2
"F010",171.0,142.9,146.9,2
"F011",178.8,154.6,144.2,2
"F012",166.9,144.4,137.6,2
"F013",171.9,149.8,140.1,2
"F014",175.2,148.5,145.9,2
"F015",171.5,144.6,139.8,2
"F016",179.4,158.9,149.6,2
"F017",169.2,161.4,142.3,2
"F018",169.9,149.0,140.6,2
"F019",180.0,149.3,141.9,2
"F020",166.4,142.8,135.3,2
"F021",174.4,138.1,138.9,2
"F022",171.4,136.5,141.0,2
"F023",162.8,144.4,137.9,2
"F024",165.2,154.8,140.8,2
"F025",177.2,144.3,144.0,2
"F026",168.4,158.9,146.4,2
"F027",175.4,166.3,137.3,2
"F028",161.9,141.5,138.7,2
"F029",169.2,146.2,130.3,2
"F030",170.4,142.5,143.9,2
"F031",165.6,151.1,130.3,2
"F032",168.6,149.6,141.3,2
"F033",167.4,149.4,137.9,2
"F034",178.8,171.7,146.0,2
"F035",170.1,136.4,139.5,2
"F036",168.5,144.1,138.4,2
"F037",174.6,127.2,142.9,2
"F038",167.9,142.4,137.2,2
"F039",174.2,146.8,143.2,2
"F040",172.9,139.3,141.5,2
"F041",167.7,145.1,136.3,2
"F042",170.9,151.6,137.4,2
"F043",176.1,163.8,149.1,2
"F044",173.6,153.1,139.0,2
"F045",179.7,155.9,143.8,2
"F046",173.2,151.2,145.3,2
"F047",163.9,158.9,143.1,2
"F048",171.7,129.7,138.4,2
"F049",178.9,152.0,143.9,2
"F050",165.1,152.0,144.8,2
"F051",168.8,134.7,136.5,1
"F052",171.4,154.3,142.8,1
"F053",175.7,140.0,141.9,1
"F054",163.7,148.1,142.9,1
"F055",164.7,160.0,136.6,1
"F056",174.1,134.0,136.7,1
"F057",174.2,159.8,149.0,1
"F058",180.2,161.1,147.4,1
"F059",165.3,135.6,129.8,1
"F060",178.4,154.9,140.1,1
"F061",173.0,152.7,146.3,1
"F062",171.9,154.3,146.9,1
"F063",170.8,159.7,143.6,1
"F064",171.0,164.5,145.7,1
"F065",174.3,154.4,144.5,1
"F066",174.5,144.5,142.3,1
"F067",168.6,145.4,146.0,1
"F068",168.9,142.4,132.8,1
"F069",170.3,154.4,136.8,1
"F070",168.7,150.3,133.8,1
"F071",172.2,163.8,139.9,1
"F072",171.7,147.8,146.0,1
"F073",176.0,155.0,142.8,1
"F074",172.1,153.3,137.1,1
"F075",165.6,130.1,135.1,1
"F076",176.8,148.1,139.7,1
"F077",175.0,166.9,147.1,1
"F078",173.2,172.7,145.0,1
"F079",182.2,157.9,148.5,1
"F080",176.9,133.9,141.6,1
"F081",172.6,143.3,138.5,1
"F082",163.3,141.7,134.8,1
"F083",165.7,134.3,139.6,1
"F084",172.5,137.6,139.7,1
"F085",161.2,138.0,127.1,1
"F086",167.9,151.8,141.8,1
"F087",169.8,162.0,142.3,1
"F088",174.9,157.7,139.3,1
"F089",166.9,143.0,138.4,1
"F090",169.7,134.2,137.4,1
"F091",168.0,147.8,137.9,1
"F092",170.0,140.9,129.7,1
"F093",171.2,148.6,142.2,1
"F094",166.7,143.5,132.8,1
"F095",162.6,141.4,133.0,1
"F096",170.7,135.9,142.8,1
"F097",164.7,131.6,134.4,1
"F098",170.4,145.4,139.0,1
"F099",176.3,151.6,134.8,1
"F100",173.9,129.3,136.9,1
