"ID","愛着","神経症傾向","外向性","開放性","調和性","誠実性"
1,1,56,50,50,38,35
2,3,52,46,44,41,41
3,3,51,45,67,64,49
4,1,50,46,51,42,56
5,3,49,43,45,64,50
6,2,40,44,41,40,46
7,1,49,73,42,53,54
8,2,55,55,52,47,45
9,1,56,41,25,49,43
10,3,64,42,59,48,38
11,1,49,52,36,45,40
12,2,52,54,46,48,49
13,2,58,43,54,45,52
14,2,59,33,41,43,44
15,1,55,56,47,45,52
16,3,54,47,54,43,30
17,1,36,71,27,65,65
18,2,49,56,55,50,52
19,1,61,41,62,29,26
20,2,64,55,38,44,45
21,3,51,43,35,49,52
22,1,39,45,56,63,66
23,3,68,33,34,45,47
24,2,47,51,62,56,35
25,2,55,45,68,43,37
26,3,63,46,41,32,39
27,2,51,57,30,39,49
28,2,47,47,49,50,47
29,3,55,50,40,44,44
30,3,41,65,51,54,60
31,1,42,63,64,54,46
32,1,46,46,60,46,45
33,2,49,41,61,49,45
34,2,57,31,35,37,43
35,2,71,52,47,35,43
36,3,59,37,56,46,39
37,3,39,59,46,47,53
38,2,44,35,48,55,42
39,2,65,50,50,56,53
40,1,54,51,44,54,46
41,1,60,60,54,51,64
42,1,48,57,53,50,46
43,1,48,50,28,55,56
44,2,52,30,57,39,50
45,2,46,54,58,32,35
46,1,46,69,44,47,45
47,2,54,53,32,47,46
48,2,38,41,46,39,49
49,3,52,45,42,25,27
50,1,49,58,59,54,61
51,2,55,49,39,33,35
52,1,46,47,37,54,50
53,2,48,55,67,49,51
54,2,46,63,44,59,65
55,3,50,44,52,50,48
56,1,27,50,30,70,59
57,1,43,57,53,45,53
58,1,35,62,63,43,43
59,3,54,53,65,44,42
60,1,45,67,57,64,65
61,1,51,34,36,53,36
62,3,48,48,37,42,42
63,1,52,43,41,57,35
64,1,39,47,70,55,48
65,1,60,61,58,47,56
66,3,54,46,23,51,47
67,1,49,55,52,63,79
68,3,52,36,41,52,42
69,1,46,42,47,34,48
70,2,61,41,53,25,39
71,1,46,47,41,43,33
72,1,42,52,36,71,58
73,1,46,51,55,57,65
74,3,70,55,49,41,44
75,3,49,46,49,56,61
76,1,49,46,50,30,39
77,2,44,41,44,37,46
78,2,36,50,41,48,52
79,1,31,67,56,63,56
80,3,45,41,56,57,43
81,2,42,44,60,56,48
82,2,47,58,43,51,47
83,2,46,56,59,41,46
84,3,54,44,32,49,35
85,1,43,52,38,69,47
86,2,51,59,38,30,38
87,2,51,42,41,39,57
88,1,32,60,42,66,63
89,1,38,54,50,47,58
90,1,51,48,46,51,44
91,3,54,49,50,57,42
92,3,58,30,56,51,37
93,1,49,34,69,51,50
94,1,42,49,68,46,49
95,3,72,40,65,41,51
96,1,56,39,38,48,46
97,1,42,48,43,64,65
98,2,52,52,59,52,57
99,3,53,50,63,48,58
100,1,59,50,47,49,58
101,3,68,57,60,56,63
102,1,54,54,54,65,53
103,2,64,33,41,29,47
104,2,39,50,51,37,39
105,1,58,51,35,54,59
106,3,48,56,56,54,42
107,2,69,33,30,28,32
108,1,34,58,47,53,46
109,3,39,57,54,63,63
110,2,59,53,42,47,46
111,2,43,57,37,42,48
112,1,51,53,50,57,57
113,1,52,67,61,76,57
114,3,41,51,57,76,65
115,2,39,48,51,46,26
116,3,51,46,34,47,51
117,3,47,47,48,50,58
118,3,36,66,51,64,68
119,3,60,42,50,60,51
120,1,26,57,46,63,72
121,1,71,61,42,52,58
122,1,38,58,44,61,78
123,1,58,40,50,44,48
124,3,51,51,54,68,63
125,3,47,42,49,38,38
126,3,62,22,54,39,27
127,2,59,51,50,51,52
128,1,46,55,51,55,57
129,1,52,50,45,49,44
130,2,54,51,44,51,41
131,1,43,58,48,57,64
132,2,49,61,46,54,54
133,1,46,46,31,64,39
134,2,50,43,57,51,60
135,1,42,51,37,60,42
136,2,47,54,59,64,62
137,3,51,45,38,50,48
138,2,55,30,37,50,49
139,3,56,38,54,53,31
140,1,30,61,47,72,79
141,1,46,43,57,57,40
142,1,27,58,61,50,44
143,3,47,59,60,46,63
144,3,48,46,48,51,36
145,1,49,36,65,61,53
146,1,48,43,68,50,54
147,1,39,58,45,54,64
148,2,57,41,28,46,58
149,1,29,64,43,68,73
150,3,43,54,36,53,54
151,1,50,39,61,39,43
152,1,50,46,46,59,40
153,2,66,43,27,51,42
154,1,47,53,47,57,42
155,3,61,28,40,44,44
156,2,38,43,47,62,47
157,3,50,42,38,52,48
158,1,40,78,71,69,69
159,1,41,58,42,67,65
160,1,26,55,60,58,45
161,2,54,57,69,66,65
162,3,49,43,63,58,41
163,3,57,33,47,55,37
164,2,63,36,43,47,60
165,2,45,55,38,50,53
166,2,64,48,60,30,39
167,3,69,37,81,44,45
168,3,55,48,49,45,42
169,1,42,68,70,76,66
170,1,44,58,52,55,66
171,1,44,56,40,55,51
172,2,35,63,36,56,61
173,1,41,60,33,50,48
174,2,46,65,65,49,61
175,1,36,61,61,62,50
176,1,56,52,55,65,65
177,2,51,46,49,50,51
178,1,48,52,59,48,60
179,1,55,52,54,56,63
180,2,59,37,45,44,37
181,2,51,47,41,58,68
182,1,34,56,58,70,60
183,2,49,43,61,50,55
184,2,57,49,57,44,42
185,2,45,40,31,45,50
186,1,27,46,43,55,45
