"ID","気分","睡眠時間","ストレス","歩数"
1,2,7.0,6,9
2,2,6.0,6,5
3,2,6.0,5,6
4,3,6.0,3,7
5,3,8.0,7,9
6,2,5.0,7,6
7,2,5.5,6,6
8,2,7.0,7,9
9,2,5.0,6,5
10,2,7.5,5,9
11,1,4.5,6,7
12,2,5.5,7,11
13,2,4.5,8,8
14,3,6.0,4,5
15,2,6.0,5,8
16,3,5.5,6,11
17,2,5.5,7,10
18,3,7.5,8,9
19,2,5.5,3,7
20,2,7.0,4,8
21,1,5.0,6,5
22,3,5.5,7,8
23,2,7.0,5,6
24,1,4.5,6,6
25,3,6.5,6,8
26,3,7.0,2,9
27,2,7.0,6,8
28,3,7.0,6,9
29,2,6.5,7,8
30,2,4.0,4,2
31,1,5.0,6,5
32,2,4.5,6,3
33,2,7.0,6,9
34,3,7.0,5,8
35,3,6.5,1,7
36,2,6.0,6,10
37,2,7.5,5,10
38,2,7.0,4,9
39,2,6.0,6,8
40,1,5.5,8,7
41,1,5.5,6,8
42,3,5.5,7,8
43,1,7.0,3,8
44,2,6.5,4,6
45,2,5.0,4,8
46,1,7.0,5,3
47,1,6.0,3,5
48,2,4.5,7,4
49,2,5.5,3,7
50,2,7.0,8,7
51,2,5.0,9,6
52,2,7.0,8,10
53,1,5.5,6,6
54,2,7.5,6,6
55,2,6.5,8,11
56,2,6.5,7,6
57,2,5.5,6,5
58,2,6.0,6,8
59,3,5.0,5,7
60,1,4.5,6,4
61,2,6.0,7,7
62,3,6.5,6,6
63,1,3.0,7,2
64,1,4.5,3,6
65,1,6.5,8,9
66,3,4.5,5,7
67,2,5.0,6,5
68,2,6.5,9,11
69,1,7.0,7,9
70,3,5.0,5,9
71,2,6.0,6,6
72,2,5.5,6,8
73,3,6.5,8,6
74,1,5.5,8,6
75,1,6.0,6,7
76,3,6.5,5,10
77,2,7.0,8,9
78,1,6.0,6,6
79,3,6.5,6,5
80,1,6.0,8,6
81,2,6.5,8,9
82,1,5.5,8,7
83,2,3.0,6,1
84,2,6.0,5,7
85,1,6.0,7,9
86,1,7.0,8,9
87,2,5.5,6,4
88,2,6.5,7,6
89,1,6.0,7,7
90,2,5.0,7,6
91,1,5.5,4,6
92,3,4.5,3,3
93,3,5.5,4,5
94,2,6.5,6,8
95,2,4.5,5,5
96,2,7.5,6,10
97,2,5.5,6,12
98,1,6.5,6,2
99,1,6.5,6,12
100,2,6.5,6,8
101,2,6.0,5,5
102,3,6.5,6,7
103,3,7.0,5,9
104,1,5.0,5,6
105,2,4.0,7,7
106,1,6.5,7,6
107,3,6.0,5,8
108,2,5.0,6,7
109,2,5.5,8,6
110,2,6.5,4,7
111,1,7.0,7,7
112,2,7.0,5,8
113,3,7.0,7,12
114,2,6.0,8,6
115,2,5.5,6,7
116,3,9.0,3,8
117,1,8.0,4,11
118,3,7.5,5,8
119,2,7.5,7,7
120,2,6.5,4,6
121,3,5.5,10,8
122,3,6.5,6,4
123,2,5.5,9,9
124,1,5.0,7,7
125,3,7.0,7,10
126,2,6.0,10,10
127,2,7.0,9,12
128,1,5.0,7,7
129,2,5.0,9,8
130,2,5.5,5,6
131,1,7.5,6,10
132,1,4.5,6,4
133,1,6.0,6,5
134,2,6.5,5,10
135,1,5.0,5,4
136,1,5.0,5,7
137,3,7.5,7,9
138,3,6.5,3,8
139,1,6.5,7,10
140,2,6.5,8,6
141,2,4.0,8,8
142,1,5.5,8,4
143,2,5.5,7,8
144,2,7.5,6,8
145,2,7.0,4,9
146,1,7.0,6,11
147,2,6.0,5,5
148,1,5.0,5,3
149,2,7.0,5,8
150,3,7.5,6,10
151,3,4.5,5,1
152,2,5.5,8,5
153,1,6.0,8,3
154,3,6.5,6,8
155,2,8.5,2,10
156,3,4.5,6,8
157,2,7.5,7,10
158,2,6.0,6,5
159,3,7.0,7,11
160,2,6.5,6,8
161,3,5.0,9,10
162,2,6.5,6,8
163,2,5.0,5,6
164,3,5.0,8,7
165,2,5.0,7,8
166,2,4.5,6,8
167,2,6.5,8,6
168,2,6.0,3,5
169,1,4.0,9,7
170,2,6.5,5,7
171,1,4.5,7,5
172,2,5.5,7,5
173,2,6.0,8,10
174,1,6.0,5,7
175,2,7.0,6,5
176,3,4.0,7,9
177,2,7.0,5,8
178,3,7.0,7,9
179,1,5.0,4,4
180,3,6.5,6,10
181,3,5.5,7,7
182,2,6.5,6,6
183,1,5.0,6,4
184,2,6.0,5,8
185,3,7.5,2,4
186,2,5.0,6,5
187,3,6.5,4,6
188,1,6.0,5,4
189,3,5.5,9,6
190,2,6.0,5,5
191,2,5.5,6,9
192,3,6.0,6,8
193,1,4.5,7,6
194,1,7.0,7,9
195,2,6.0,7,9
196,3,9.0,7,10
197,3,5.5,6,11
198,2,6.5,6,7
199,2,6.5,8,9
200,3,6.0,6,10
